city,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Ashville,9988028,25689918,28732,35.43400568,-82.52514429,Private room,40,1,10,4/12/2016,2.7,1,83
Ashville,5382711,15492395,28732,35.43787687,-82.45469895,Private room,49,1,2,11/1/2015,0.31,3,319
Ashville,6001883,10592931,28732,35.429399,-82.5108621,Private room,60,1,36,3/26/2016,2.93,1,358
Ashville,8592142,45217605,28732,35.44002376,-82.52258296,Entire home/apt,75,1,11,2/27/2016,1.76,1,55
Ashville,7901875,41665227,28732,35.46840776,-82.4716178,Private room,75,2,5,4/1/2016,0.61,1,362
Ashville,3738456,19111238,28732,35.43717484,-82.4623203,Private room,75,3,5,3/8/2016,0.45,1,365
Ashville,6079982,3572350,28732,35.42342431,-82.47322395,Entire home/apt,86,1,30,4/12/2016,2.69,1,305
Ashville,11824960,13713930,28732,35.44067931,-82.52874577,Private room,95,1,1,4/9/2016,1,1,361
Ashville,8453543,9927804,28732,35.48736394,-82.44012887,Entire home/apt,100,2,9,3/30/2016,1.27,1,57
Ashville,2810539,8752490,28732,35.48721384,-82.41730445,Private room,105,1,4,8/10/2015,0.18,1,365
Ashville,5635638,22017512,28732,35.45567693,-82.47238548,Entire home/apt,125,2,15,4/10/2016,1.19,1,365
Ashville,714699,3680761,28732,35.47197528,-82.42802273,Entire home/apt,134,2,14,1/26/2016,0.33,1,302
Ashville,3331316,15646437,28732,35.40863703,-82.56754143,Entire home/apt,140,2,81,4/18/2016,3.96,1,217
Ashville,4846733,24938934,28732,35.44559699,-82.46756025,Entire home/apt,220,2,8,4/6/2016,0.66,1,236
Ashville,3757445,4687498,28732,35.40770177,-82.49648914,Entire home/apt,225,2,1,11/2/2015,0.17,1,253
Ashville,6248655,28002273,28801,35.60301726,-82.54528787,Private room,23,1,23,4/22/2016,2.12,2,324
Ashville,8782463,11246730,28801,35.60653967,-82.54343442,Private room,39,1,28,4/14/2016,4.44,1,281
Ashville,6145162,7625694,28801,35.59057698,-82.55013556,Private room,45,2,37,4/17/2016,3.14,5,64
Ashville,10099509,51827781,28801,35.61119586,-82.55819657,Shared room,48,2,6,4/17/2016,3.91,1,22
Ashville,8304698,43785888,28801,35.6075409,-82.56299756,Entire home/apt,49,1,27,4/16/2016,4.18,1,135
Ashville,695196,3552264,28801,35.58037493,-82.5578006,Private room,49,1,410,4/11/2016,9.45,1,292
Ashville,8654108,5686055,28801,35.58635223,-82.55013541,Private room,50,1,34,4/18/2016,5.15,2,82
Ashville,6148442,2208876,28801,35.59130277,-82.55293969,Private room,50,2,22,4/3/2016,1.84,9,149
Ashville,6305325,2208876,28801,35.59131499,-82.55429767,Private room,50,2,11,3/26/2016,1.06,9,159
